0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:50:34 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:50:34 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:50:35 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:50:35 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:50:35 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:50:35 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:50:36 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:50:36 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:50:36 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:50:37 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:53:15 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:53:17 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:53:18 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:56:26 -0800] "POST /rest/patient_system/updatePersonalInfo HTTP/1.1" 405 1090
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:56:55 -0800] "POST /rest/patient_system/updatePersonalInfo/9efa7b30-dc8b-11e7-94ee-77b25b114d13 HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:57:17 -0800] "POST /rest/patient_system/test HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:57:20 -0800] "POST /rest/patient_system/test/123 HTTP/1.1" 405 1090
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:57:45 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Dec/2017:18:58:03 -0800] "PUT /rest/patient_system/test/updatePersonalInfo HTTP/1.1" 405 1090
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:09:25 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:10:04 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:10:05 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:12:49 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:12:50 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:12:51 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:12:51 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:12:52 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:12:52 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:12:52 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:12:52 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:12:53 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:12:53 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:12:53 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:12:53 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:12:53 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:12:53 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:12:54 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:12:54 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4269
0:0:0:0:0:0:0:1 - - [08/Dec/2017:19:12:54 -0800] "GET /rest/patient_system/test/12345 HTTP/1.1" 500 4191
